task,mean,HDIlo,HDIup
card_sorting,0.6357917632195617,0.43456341402166054,0.8176930281989332
informativeness,0.22616964454542524,-0.08604970315671945,0.5108571494487717
novelty,0.7459893776714802,0.5601867018683225,0.9109202853954391
mutual_exclusivity,0.6770427798523118,0.49820808141668627,0.844730936455756
preference,0.5326980331669943,0.2347794262539625,0.8168810418815262
