index,value,lower,upper
prag=~mutual_exclusivity,1.212835726051761,0.22717625140564135,2.671344450643023
prag=~simple_inf,0.5851857300967561,0.011036861433388764,1.2909742740433838
ad_hoc_implicature~~ad_hoc_implicature,0.6550370883383942,0.23101448105233233,1.0606388871396542
mutual_exclusivity~~mutual_exclusivity,0.6691976572132726,0.2236837059563014,1.0609233573012122
simple_inf~~simple_inf,0.9399367428800943,0.6961532049266205,1.2160105324141655
prag~~prag,0.35800864855254405,0.0019065485152457353,0.7775769579231812
card~~card,1.0331543086247859,0.7884273915411638,1.3142070627426008
match~~match,1.0383362051807707,0.7818076794497096,1.3136744670615954
prag~~card,0.20094554160522005,0.017612425636246244,0.38684611315203693
prag~~match,0.038862602837432564,-0.11343472900812411,0.18314079557309515
card~~match,-0.03584961948665957,-0.2173502208899948,0.1502126076465709
ad_hoc_implicature~1,-2.757330459434946e-4,-0.17883994537205797,0.17387054603166963
mutual_exclusivity~1,-3.125006431644845e-4,-0.17732606843474538,0.18096940202964107
simple_inf~1,1.697365430959852e-4,-0.17438604276084232,0.18351726345892638
card_sorting~1,8.304342451617171e-5,-0.1914227252141849,0.16911189861000997
match_to_sample~1,8.643527594490751e-4,-0.18232475149780217,0.18006641918528857
